ClassId,SignName
0,S L (20km/h)
1,S L (30km/h)
2,S L (50km/h)
3,S L (60km/h)
4,S L (70km/h)
5,S L (80km/h)
6,EOFS L (80km/h)
7,S L (100km/h)
8,S L (120km/h)
9,No psg
10,No psg for vhcls > 3.5T
11,ROFW at the nxt intersct
12,Priority road
13,Yield
14,Stop
15,No vhcls
16,veh > 3.5 T Prohib
17,No entry
18,General caution
19,DGRS curve to the L
20,DGRS curve to the R
21,Double curve
22,Bumpy road
23,Slippery road
24,Road narrows on the R
25,Road work
26,Traffic signals
27,Pedestrians
28,Children crsg
29,Bicycles crsg
30,Beware of ice/snow
31,Wild animals crsg
32,EOF all speed & psg lim
33,Turn R ahead
34,Turn L ahead
35,Ahead only
36,Go straight or R
37,Go straight or L
38,Keep R
39,Keep L
40,Roundabout mdatory
41,EOF no psg
42,EOF no psg by Veh > 3.5T
